County,Market Name,Market Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference_1
Erie,5 Loaves Farm Stand-Delavan Ave,70 West Delavan Ave Buffalo,70 West Delevan Ave,Buffalo,NY,14213,Matt Kauffman,7168039241,http://5loavesfarm.org,Thu 4pm-7pm,July 1-September 30,M,Y,Y,N,Y,42.9223,-78.8969,POINT (-78.8969 42.9223)
Erie,Bowman Farms Farm stand,11259 Gowanda State Rd. North Collins,11259 Gowanda State Rd.,North Collins,NY,14111,Susan Bowman,7163372695,http://www.bowmanfarmsinc.com,Daily 9am-5pm,June 11-October 16,M,Y,Y,N,Y,42.57506,-78.93838,POINT (-78.93838 42.57506)
Erie,Clarence Hollow Farmers' Market,"10717 Main St , Bike Path Parking Lot Clarence",10717 Main St,Clarence,NY,14031,Cheryl Anthony,7167591075,http://www.clarencefarmersmarket.com,Sat 8am-1pm,June 1-October 26,M,Y,N,N,Y,42.9808,-78.58904,POINT (-78.58904 42.9808)
Erie,Clinton Bailey Sat Farmers' Market,1517 Clinton St Buffalo,Bailey Ave and Clinton St,Buffalo,NY,14206,Sharon Baldi,7168222466,http://www.clintonbaileymarket.com,Sat 4am-6pm Winter: 6am-1pm,Year-round,YR,N,Y,N,Y,42.87205,-78.81998,POINT (-78.81998 42.87205)
Erie,Downtown Buffalo Country Thursday Farmers' Market,Fountain Plaza 580 Main St,580 Main Street  Fountain Plaza,Buffalo,NY,14202,Marisa Groom,7168563150,https://buffaloplace.com/play/our-events/#countrymarket,Thu 10am-2pm,June 6-October 24,M,Y,Y,N,Y,42.88951,-78.87353,POINT (-78.87353 42.88951)
Erie,East Aurora Saturday Farmers' Market,127 Grey St.,123 Grey St,East Aurora,NY,14052,Gail Fenton,5853562357,http://www.eastaurorafarmersmarket.com,Sat 7am-1pm,May 6-November 23,P/M,Y,N,N,Y,42.76593,-78.63413,POINT (-78.63413 42.76593)
Erie,East Aurora Wednesday Farmers' Market,127 Grey St.,123 Grey St,East Aurora,NY,14052,Gail Fenton,5853562357,http://www.eastaurorafarmersmarket.com,Wed 7am-1pm,May 8-November 27,P/M,Y,N,N,Y,42.76593,-78.63413,POINT (-78.63413 42.76593)
Erie,Elmwood Village Farmers' Market,Bidwell Parkway corner of Elmwood Ave,Elmwood Ave and Bidwell Pkwy,Buffalo,NY,14222,Karen Vilonen,7166915388,http://www.elmwoodmarket.org,Sat 8am-1pm,May 11-November 30,P/M,Y,Y,Y,Y,42.92371,-78.87702,POINT (-78.87702 42.92371)
Erie,Hamburg Farmers' Market,45 Church St.,45 Church St.,Hamburg,NY,14075,Jamie Decker,7166497917,,Sat 7:30am-1pm,May 4-October 26,P/M,Y,Y,N,Y,42.71677,-78.82994,POINT (-78.82994 42.71677)
Erie,Holland Farmers' Market,"25 North Main St. Holland, Municipal lot Next to Fire Dept",25 North Main St.,Holland,NY,14080,Marg Wnek,7165379590,http://www.thehollandmkt.com,Sun 8:30am-1pm,May 5-October 27,P/M,Y,N,N,Y,42.64149,-78.54248,POINT (-78.54248 42.64149)
Erie,Huntington Farm Stand II,11503 Main St Clarence,11503 Main Street,Clarence,NY,14031,Dan Huntington,7163930590,,Daily 11am-7pm,June 15-October 14,M,Y,Y,N,Y,42.98909,-78.55762,POINT (-78.55762 42.98909)
Erie,Kwilos Farm Farm Stand,7678 Erie Rd Derby,7678 Erie Rd.,Derby,NY,14074,Joseph Kwilos,7165496201,,"Mon-Sat 10am-6pm, Sun 10am-4pm",May 9-October 31,P/M,Y,N,N,Y,42.67729,-79.02178,POINT (-79.02178 42.67729)
Erie,MAP Mobile Market - Market at the Farmhouse,"387 Massachusetts Ave Buffalo , btwn Barton & Shields",389 Massachusetts Ave.,Buffalo,NY,14213,Karine Amato,7168825327,http://www.mass-ave.org,Thu 3pm-6pm,Year-round,YR,N,Y,N,Y,42.9128,-78.88774,POINT (-78.88774 42.9128)
Erie,MAP Mobile Market - Mrs. Frances Nash,136 Broadway Ave Buffalo,136 Broadway Ave,Buffalo,NY,14203,Karine L. Amato,7168825327,,Tue 4:30pm-6:30pm,June 4-November 1,M,Y,Y,N,Y,42.88616,-78.87168,POINT (-78.87168 42.88616)
Erie,MAP Mobile Market-Broadway Pediatrics,1021 Broadway Ave Buffalo,1021 Broadway,Buffalo,NY,14212,Karine Amato,7168825327,http://www.mass-ave.org/shop,Fri 11am-1pm,June 7-October 25,M,Y,Y,N,Y,42.89349,-78.83677,POINT (-78.83677 42.89349)
Erie,MAP Mobile Market-Buffalo Adult Education,160 Edward St Buffalo,389 Virginia St.,Buffalo,NY,14201,Karine Amato,7168825327,http://www.mass-ave.org/shop,Thu 10am-12pm,March 1-December 12,W/P/M/X,Y,Y,N,Y,42.89682,-78.87764,POINT (-78.87764 42.89682)
Erie,MAP Mobile Market-Elim Fellowship,"70 Chalmers Ave Buffalo, Parking lot at Holden St",70 Chalmers Avenue,Buffalo,NY,14214,Karine Amato,7168825327,http://www.mass-ave.org,Wed 4:30pm-6pm,June 5-October 30,M,Y,Y,N,Y,42.93779,-78.83581,POINT (-78.83581 42.93779)
Erie,MAP Mobile Market-Jericho Road Barton,Jericho Rd Community Health Center Barton Clinic  184 Barton St,184 Barton Street,Buffalo,NY,14213,Karine Amato,7168825327,http://www.mass-ave.org,Tue 11:30am-1pm,June 4-October 29,M,Y,Y,N,Y,42.9179,-78.89466,POINT (-78.89466 42.9179)
Erie,MAP Mobile Market-Jonhnnie B. Wiley,110 Jefferson Ave Buffalo,110 Jefferson Avenue,Buffalo,NY,14204,Karine Amato,7168825327,http://mass-ave.org,Sat 10:30am-12pm,June 8-November 2,M,N,Y,N,Y,42.87815,-78.8547,POINT (-78.8547 42.87815)
Erie,MAP Mobile Market-Muslim Society,1955 Genesee St Buffalo,1955 Genesee St.,Buffalo,NY,14211,Karine Amato,7168825327,http://www.mass-ave.org/shop,Fri 2:30pm-4pm,June 7-October 25,M,N,Y,N,Y,42.91378,-78.80951,POINT (-78.80951 42.91378)
Erie,MAP Mobile Market-Neighboorhood Health Center NW,155 Lawn Ave Buffalo,155 Lawn Ave,Buffalo,NY,14207,Karine Amato,7168825327,http://www.mass-ave.org,Wed 11am-1pm,June 5-October 30,M,Y,Y,N,Y,42.9506,-78.8895,POINT (-78.8895 42.9506)
Erie,MAP Mobile Market-Neighborhood Health Center Mattina,300 Niagara St Buffalo,300 Niagara Street,Buffalo,NY,14201,Karine Amato,7168825327,http://www.mass-ave.org,Wed 11am-1pm,June 5-October 30,M,Y,Y,N,Y,42.89206,-78.88399,POINT (-78.88399 42.89206)
Erie,MAP Mobile Market-Undergrounds,580 South Park Ave Buffalo,580 South Park Avenue,Buffalo,NY,14214,Karine Amato,7168825327,http://mass-ave.org,Sat 1pm-2:30pm,June 8-November 2,M,N,Y,N,Y,42.87085,-78.85798,POINT (-78.85798 42.87085)
Erie,Mrs. Nash's Garden Basket,136 Broadway Ave (parking lot),136 Broadway Ave,Buffalo,NY,14203,Audrey Clark,7163221002,https://www.michiganstreetbuffalo.org/,Tue 4:30pm-6pm,May 28-October 8,M,Y,N,N,Y,42.88689,-78.8681,POINT (-78.8681 42.88689)
Erie,Providence Farm Collective Farmers' Market,130 Grant St Buffalo,130 Grant Street,Buffalo,NY,14218,Hamadi Ali,7169311991,http://providencefarmcollective.org,Sat 10am-2pm,June 22-October 26,M,Y,Y,N,Y,42.91746,-78.89072,POINT (-78.89072 42.91746)
Erie,Urbanowicz Acres Farm Stand,1417 Eden Evans Ctr Rd Angola,1417 Eden Evans Ctr Rd,Angola,NY,14006,Elaine Urbanowicz,7169843453,http://www.urbanowiczacres.com,"Sun 11am-4pm, Mon-Sat 11am-6pm",Year-round,YR,N,N,N,Y,42.65224,-79.00035,POINT (-79.00035 42.65224)
Essex,Elizabethtown Farmers' Market,"7590 Court St., Behind Adirondack Center Museum",7590 Court St,Elizabethtown,NY,12932,Jane Desotelle,5185634777,http://www.adirondackfarmersmarket.com,Fri 9am-1pm,June 14-September 6,M,Y,N,N,Y,44.21552,-73.59168,POINT (-73.59168 44.21552)
Essex,Keene Farmers' Market,Rt. 73 Marcy Airfield 1 mi. South of Rt. 9N jct.,2253 State Route 73,Keene Valley,NY,12943,Brendan Richardson,5185218873,http://www.adirondackfarmersmarket.com,Sun 9:30am-2pm,May 26-October 13,M,Y,N,N,Y,44.22067,-73.78561,POINT (-73.78561 44.22067)
Essex,Mountain Weavers' Farm Store,4322 Main St Port Henry,4322 Main Street,Port Henry,NY,12974,Andrea Connor,5185461096,http://www.mountainweaversfarmstore.org,Mon-Fri 10am-4:30pm,Year-round,YR,N,Y,N,Y,44.04849,-73.45958,POINT (-73.45958 44.04849)
Essex,Schroon Lake  Farmers' Market,29 Leland Ave Town Pavilion,29 Leland Avenue,Schroon Lake,NY,12870,Alexis Conners,5859440097,http://schroonlakefarmersmarket.com,Sat 9am-1pm,June 15-September 7,M,Y,N,N,Y,43.83632,-73.75876,POINT (-73.75876 43.83632)
Essex,Ticonderoga Area Farmers' Market,Champlain Ave and McMormick St,Champlain Ave and McMormick Street,Ticonderoga,NY,12883,Kelly Carey,5185856619,http://www.ticonderogany.com,Sat 9am-12pm,July 13-October 12,M,Y,N,N,Y,43.84925,-73.42296,POINT (-73.42296 43.84925)
Essex,Willsboro Farmers' Market,Route 22 South of Champlain National Bank,3900 NY Rt 22,Willsboro,NY,12996,Linda Therrien,5189634383,,Thu 9am-1pm,June 20-August 29,M,Y,N,N,Y,44.36971,-73.395629,POINT (-73.395629 44.36971)
Franklin,JCEO MM-Catherine St. Housing,"77 Catherine St. Malone, Catherine St. Housing",50 Catherine St.,Malone,NY,12953,Karissa Matott,5183194028,http://www.jceo.org,Wed 10am11:30am,June 5-August 28,M,Y,Y,N,Y,44.84784,-74.29154,POINT (-74.29154 44.84784)
Franklin,JCEO MM-Elm St. Housing,215 Elm St Malone,215 Elm St,Malone,NY,12953,Karissa Matott,5183194028,http://www.jceo.org,Thu 12pm-1:30pm,June 6-August 29,M,Y,Y,N,Y,44.85535,-74.28165,POINT (-74.28165 44.85535)
Franklin,JCEO MM-Malone Rec Park,"208 Duane St, Malone",208 Duane St,Malone,NY,12953,Karissa Matott,5183194028,http://www.jceo.org,Wed 12pm-1:30pm,June 5-August 28,M,Y,Y,N,Y,44.83966,-74.29062,POINT (-74.29062 44.83966)
Franklin,JCEO MM-Sawyer Ave Housing,"70 Sawyer Ave, Malone",70 Sawyer Ave,Malone,NY,12953,Karissa Matott,5183194028,http://www.jceo.org,Tue 12pm-1:30pm,June 4-August 27,M,Y,Y,N,Y,44.85159,-74.30452,POINT (-74.30452 44.85159)
Franklin,JCEO MM-Trails of Malone,156 Falling Leaf Dr. Malone,166 Falling Leave Dr.,Malone,NY,12953,Karissa Matott,5183194028,http://www.jceo.org,Thu 10am-11:30am,June 6-August 29,M,Y,Y,N,Y,44.83505,-74.2986,POINT (-74.2986 44.83505)
Franklin,JCEO MM-Windmill Estates,"51 Windmill Ln, Malone",51 Windmill Ln,Malone,NY,12953,Karissa Matott,5183194028,http://www.jceo.org,Tue 10am-11:30am,June 4-August 27,M,Y,Y,N,Y,44.84873,-74.26749,POINT (-74.26749 44.84873)
Franklin,Malone Farmers' Market,27 Airport Rd (Rte 11),27 Airport Road,Malone,NY,12953,Kimberly Ovitt,8043564447,http://www.adirondackfarmersmarket.com,Wed 12pm-4:30pm,May 22-October 2,P/M,Y,N,N,Y,44.84733,-74.32773,POINT (-74.32773 44.84733)
Franklin,Saranac Lake Farmers' Market,"Riverside Park , Corner of Main St & Route 3",Corner of Main St. & Route 3,Saranac Lake,NY,12983,Ashley Garwood,9196165850,,Sat 9am-2pm,May 18-October 12,P/M,Y,Y,N,Y,44.32503,-74.13178,POINT (-74.13178 44.32503)
Fulton,Gloversville Farmers' Market,Elm Street Pavilion,9 Elm Street,Gloversville,NY,12078,Michael Tillson,5188829306,http://www.fmfma.org,Sat 8:30am-12:30pm,May 13-October 12,P/M,Y,N,N,Y,43.052604,-74.345796,POINT (-74.345796 43.052604)
Fulton,Harmony Harvest and Herd Farm Stand,159 County Highway 148 Johnstown,159 County Highway 148,Johnstown,NY,12095,Shauna Hauser,5187729257,,Sun 11am-4pm,June 16-November 10,M,Y,Y,N,Y,42.98984,-74.36296,POINT (-74.36296 42.98984)
Fulton,Johnstown Farmers' Market,"Shirley J Luck Senior Center , 109 E. Main St",109 E. Main Street,Johnstown,NY,12095,Michael Tillson,5188829306,http://www.fmfma.org,Tue 3pm-6pm,June 28-October 15,M,Y,N,N,Y,43.00731,-74.36427,POINT (-74.36427 43.00731)
Genesee,Corfu Farmers Market,63 Alleghany Rd,63 Alleghany Road,Corfu,NY,14036,Katy Hobbs,5858138501,,Mon 4pm-7pm,July 10-September 25,M,Y,N,N,Y,42.96113,-78.40565,POINT (-78.40565 42.96113)
Genesee,Curbside Market-Rochester Psychiatric Ctr,1111 Elmwood Ave,1111 Elmwood Avenue,Rochester,NY,14620,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Fri 10:30am-11:15am,Year-round,YR,Y,Y,N,Y,43.12219,-77.61222,POINT (-77.61222 43.12219)
Genesee,Genesee Country Friday Farmers' Market,School Street and Jackson Street Batavia,School Street and Jackson Street,Batavia,NY,14020,Rebecca Grela,7168703828,,Fri 9am-4pm,June 7-November 1,M,Y,Y,Y,Y,42.99905,-78.18151,POINT (-78.18151 42.99905)
Genesee,Genesee Country Thursday Farmers' Market,School Street and Jackson Street Batavia,School Street and Jackson Street,Batavia,NY,14020,Rebecca Grela,7168703828,,Thu 9am-4pm,June 13-October 31,M,Y,Y,Y,Y,42.99905,-78.18151,POINT (-78.18151 42.99905)
Genesee,Genesee Country Tuesday Farmers' Market,Bank St at Alva Place Batavia,School Street and Jackson Street,Batavia,NY,14020,Rebecca Grela,7168703828,,Tue 9am-4pm,June 11-October 29,M,Y,Y,Y,Y,42.99905,-78.18151,POINT (-78.18151 42.99905)
Genesee,LeRoy Farmers' Market,Trigon Park Route 5 (Main St),Trigon Park,Le Roy,NY,14482,Andres Manamon,5624000398,http://www.leroyfarmersmarket.wordpress.com,Sat 9am-12:30pm,June 8-October 5,M,Y,N,N,Y,42.97756,-77.98592,POINT (-77.98592 42.97756)
Greene,Black Horse Farms Farm Stand,10094 Route 9W Athens,10094 Rte 9W,Athens,NY,12015,Chellie Apa,5187318776,http://www.blackhorsefarms.com,Daily 9am-6pm,Year-round,YR,N,Y,N,Y,42.30634,-73.85043,POINT (-73.85043 42.30634)
Greene,Catskill Farmers' Market,145 Water St,145 Water St,Catskill,NY,12414,Christine Ritmo,5182918779,,Sun 10am-2pm,May 26-October 27,M,Y,Y,Y,Y,42.21975,-73.8671,POINT (-73.8671 42.21975)
Greene,Fromer Market Gardens Farm Stand,6120 Main St Tannersville,6120 Main Street,Tannersville,NY,12485,Samantha Metz,8622001935,http://www.fromermarketgardens.com,Sat 9am-2pm,Year-round,YR,N,Y,N,Y,42.19546,-74.13889,POINT (-74.13889 42.19546)
Greene,Stoneledge Farm Stand,145 Garcia Lane Leeds,145 Garcia Lane,Leeds,NY,12451,Candice Kavakos,5188199966,http://www.stoneledge.farm,Sat/Sun 9am-4pm,May 12-October 13,P/M,Y,N,N,Y,42.27878,-73.95216,POINT (-73.95216 42.27878)
Greene,Vernon Street Farm Farm Stand,93 N Vernon St Athens,93 North Vernon Street,Athens,NY,12015,Joshua Bary,5189450135,,Sat 10am-1pm,May 25-November 2,P/M,Y,Y,N,Y,42.26833,-73.80801,POINT (-73.80801 42.26833)
Herkimer,Dolgeville Farmers' Market,Plowe Park South Main Street,Plowe Park South Main Street,Dolgeville,NY,13329,Christine Reynolds,3158684557,,Sat 9am-1pm,May 18-October 26,P/M,Y,N,N,Y,43.09696,-74.77649,POINT (-74.77649 43.09696)
Herkimer,Little Falls Farmers' & Flea Market,M&T Bank parking lot  Albany St,Albany Street and 2nd Street,Little Falls,NY,13365,Mary Davis,3158662619,,Sat 8am-12pm,May 4-October 26,P/M,Y,N,N,Y,43.04284,-74.85828,POINT (-74.85828 43.04284)
Herkimer,MAWS Farm Stand,7342 Main St Newport,7342 Main Street,Newport,NY,13416,Michael Skwara,3159850088,http://www.mawsfarm.com,Daily 9am-6pm,Year-round,YR,N,Y,N,Y,43.18096,-75.01054,POINT (-75.01054 43.18096)
Herkimer,Mohawk Valley Farmers' Market,142 N Main St Herkimer,142 North Main Street,Herkimer,NY,13350,Pooniel Healy,3152199195,,Fri 12pm-6pm,June 28-October 12,M,Y,N,N,Y,43.0263,-74.98656,POINT (-74.98656 43.0263)
Herkimer,Old Forge Farmers' Market,201 North St George Hiltebrant Rec Center Parking Lot,Crosby Blvd and Park Ave,Old Forge,NY,13420,Robin Hill,3153693353,http://livingadk.org,Fri 1pm-5pm,June 21-October 11,M,Y,N,N,Y,43.70893,-74.97286,POINT (-74.97286 43.70893)
Herkimer,Town of Herkimer Farmers' Market,"154 Pine Grove Rd. , Herkimer",154 Pine Grove Rd.,Herkimer,NY,13350,Kathi Nasypany,3152197600,,Thu 3pm-6pm,June 27-September 5,M,Y,N,N,Y,43.03232,-74.96209,POINT (-74.96209 43.03232)
Jefferson,Clayton Chamber of Commerce Farmers' Market,Village Park Circle 425 Mary St,425 Mary Street,Clayton,NY,13624,Mike Hooson,3156863771,http://www.1000islands-clayton.com,Thu 10am-4pm,May 30-October 17,P/M,Y,Y,N,Y,44.23992,-76.08508,POINT (-76.08508 44.23992)
Jefferson,Northrop Farms Farm Stand,30058 State Route 180 Watertown,30058 State Route 180,Watertown,NY,13601,Jennifer Northrop,3157710350,,Daily 9am-6pm,June 1-October 31,M,Y,Y,N,Y,44.10375,-75.98435,POINT (-75.98435 44.10375)
Jefferson,Watertown Farm & Craft Market,"245 Washington Street , State Office Building Plaza",245 Washington Street,Watertown,NY,13601,Allison Andrews,3157884400,http://www.watertownfarmandcraft.com,Wed 7am-3pm,May 22-October 2,P/M,Y,Y,N,Y,43.9726,-75.91001,POINT (-75.91001 43.9726)
Jefferson,Watertown Saturday Farmers' Market,175 Black River Parkway,175 Black River Parkway,Watertown,NY,13601,Mike Nuckols,3157888450,,Sat 9am-2pm,May 18-October 26,P/M,Y,Y,N,Y,43.97651,-75.90988,POINT (-75.90988 43.97651)
Kings,4th Ave. Sunset Park Greenmarket,4th Ave & 60th St,4th Ave and 60th St,Brooklyn,NY,11220,Iliana Garcia,2127887900,http://www.grownyc.org/greenmarket,Sat 8am-3pm,July 6-November 23,M,Y,Y,N,Y,40.64081,-74.01836,POINT (-74.01836 40.64081)
Kings,7th Ave. Sunset Park Greenmarket,7th Ave & 44th St,602 44th Street,Brooklyn,NY,11220,Iliana Garcia,2127887900,http://www.grownyc.org/greenmarket,Sat 8am-3pm,Year-round,YR,N,Y,N,Y,40.64693,-74.00447,POINT (-74.00447 40.64693)
Kings,Bartel-Pritchard Square Sun Greenmarket,Prospect Park West @ 15th St,205 Prospect Park West,Brooklyn,NY,11215,Iliana Garcia,2127887900,http://www.grownyc.org/greenmarket,Sun 9am-2pm,May 5-December 22,P/M/X,Y,Y,N,Y,40.66055,-73.97984,POINT (-73.97984 40.66055)
Kings,Bartel-Pritchard Square Wed Greenmarket,Prospect Park West @ 15th St,205 Prospect Park West,Brooklyn,NY,11215,Iliana Garcia,2127887900,http://www.grownyc.org/greenmarket,Wed 8am-2pm,Year-round,YR,Y,Y,N,Y,40.66055,-73.97984,POINT (-73.97984 40.66055)
Kings,Bay Ridge Greenmarket,3rd Ave & 95th St,9408 3rd Avenue,Brooklyn,NY,11209,Iliana Garcia,2127887900,http://www.grownyc.org/greenmarket,Sat 8am-3pm,May 4-November 23,P/M,Y,Y,N,Y,40.61761,-74.03363,POINT (-74.03363 40.61761)
Kings,Bed Stuy GrowNYC Farm Stand,Decatur St. & Lewis Ave,406 Decatur Street,Brooklyn,NY,11233,Rev. Robert Jackson,9173016747,,Saturday  9am-11am,Year-Round,YR,N,Y,N,Y,40.68218,-73.92683,POINT (-73.92683 40.68218)
Kings,Bed-Stuy GrowNYC Farmstand,Decatur Street & Lewis Ave,Decatur Street & Lewis Ave,Brooklyn,NY,11233,Meredith Clark,,https://www.grownyc.org/farmstands,Sat 9am-2pm,Year-round,YR,Y,N,N,Y,40.68134,-73.93467,POINT (-73.93467 40.68134)
Kings,Bensonhurst Greenmarket,18th Ave btwn 81st & 82nd St,8118 18th Ave,Brooklyn,NY,11214,Iliana Garcia,2127887900,http://www.grownyc.org/greenmarket,Sun 9am-3pm,June 2-November 24,M,Y,Y,N,Y,40.60987,-73.99966,POINT (-73.99966 40.60987)
Kings,Boro Park Greenmarket,14th Ave btwn 49th & 50th St,4910 14th Ave,Brooklyn,NY,11219,Iliana Garcia,2127887900,http://www.grownyc.org/greenmarket,Thu 8am-2pm,July 11-November 21,M,Y,Y,N,Y,40.63349,-73.99022,POINT (-73.99022 40.63349)
Kings,Brooklyn Borough Hall Saturday Greenmarket,Montague St & Court St,211 Montague Street,Brooklyn,NY,11201,Iliana Garcia,2127887900,http://www.grownyc.org/greenmarket,Sat 8am-3pm,Year-round,YR,Y,Y,N,Y,40.69416,-73.99076,POINT (-73.99076 40.69416)
Kings,Brooklyn Borough Hall Tuesday Greenmarket,Montague St & Court St,211 Montague Street,Brooklyn,NY,11201,Iliana Garcia,2127887900,http://www.grownyc.org/greenmarket/brooklyn/boro-hall-sa,Tue 8am-3pm,Year-round,YR,Y,Y,N,Y,40.69416,-73.99076,POINT (-73.99076 40.69416)
Kings,Brownsville Pitkin GrowNYC Farm Stand,Pitkin Ave and Thomas Boyland St,Pitkin Avenue and Thomas Boyland Street,Brooklyn,NY,11212,Meredith Clark,,https://www.grownyc.org/farmstands,Sat 8:30am-1:30pm,July 6-November 23,M,Y,Y,N,Y,40.66926,-73.91356,POINT (-73.91356 40.66926)
Kings,Carroll Gardens Greenmarket,330 Smith St                                          Smith & Carroll Streets,330 Smith Street,Brooklyn,NY,11231,Iliana Garcia,2127887900,http://www.grownyc.org/greenmarket/brooklyn/carroll-gardens,Sun 8am-2pm,Year-round,YR,Y,Y,N,Y,40.68036,-73.99536,POINT (-73.99536 40.68036)
Kings,Cortelyou Greenmarket,Cortelyou btwn Rugby & Argyle,1305 Cortelyou Road,Brooklyn,NY,11226,Iliana Garcia,2127887900,https://www.grownyc.org/farmstands,Sun 8am-2pm,Year-round,YR,Y,Y,N,Y,40.64071,-73.9659,POINT (-73.9659 40.64071)
Kings,Crown Heights GrowNYC Farm Stand,Nostrand Ave and Crown St,Nostrand Ave and Crown St,Brooklyn,NY,11255,Meredith Clark,,http://grownyc.org/farmstands,Fri 9am-2pm,Year-round,YR,Y,Y,N,Y,40.66629,-73.95081,POINT (-73.95081 40.66629)
Kings,Cypress Hills GrowNYC Farm Stand,Fulton St btwn Richmond & Logan Sts,Fulton St. and Logan St.,Brooklyn,NY,11208,Meredith Clark,,https://www.grownyc.org/farmstands,Fri 9am-2pm,July 5-November 22,M,Y,Y,N,Y,40.68206,-73.87788,POINT (-73.87788 40.68206)
Kings,East New York Farm Stand,404 Pine St Brooklyn,404 Pine St,Brooklyn,NY,11208,Elli Sol Strich,7186497979,http://ucceny.org,Thu 1:30pm-5:30pm,July 11-October 31,M,Y,Y,N,Y,40.67578,-73.87123,POINT (-73.87123 40.67578)
Kings,East New York Farmers' Market,620 Schenck Ave Brooklyn,620 Schenk Ave,Brooklyn,NY,11207,Elli Sol Strich,7186497979,http://ucceny.org/enyf,Sat 9am-3pm,June 29-November 9,M,Y,Y,N,Y,40.66526,-73.88661,POINT (-73.88661 40.66526)
Kings,Fort Greene Greenmarket,Washington Park & Dekalb,209 Washington Park,Brooklyn,NY,11205,Iliana Garcia,2127887900,http://www.grownyc.org/greenmarket/brooklyn/fort-greene,Sat 8am-3pm,Year-round,YR,Y,Y,N,Y,40.68975,-73.97299,POINT (-73.97299 40.68975)
Kings,Grand Army Plaza Greenmarket,1 Prospect Park                                    Grand Army Plaza,1 Prospect Park,Brooklyn,NY,11238,Iliana Garcia,2127887900,http://www.grownyc.org/greenmarket/brooklyn-grand-army-plaza,Sat 8am-3pm,Year-round,YR,Y,Y,N,Y,40.66062,-73.97943,POINT (-73.97943 40.66062)
Kings,Harvest Home Brower Park Farmers' Market,Prospect Place & Brooklyn Avenue,Prospect Place and Brooklyn Ave.,Brooklyn,NY,11213,Perla Vazquez,2128283361,http://www.harvesthomefm.org,Thu 8am-3pm,June 13-November 14,M,Y,Y,N,Y,40.674,-73.94454,POINT (-73.94454 40.674)
Kings,Harvest Home Coney Island Farmers' Market,Ocean Parkway btwn Shore Pkwy & Ave Z,Ocean Pkwy and Avenue Z,Brooklyn,NY,11235,Perla Vazquez,2128283361,http://www.harvesthomefm.org,Fri 8am-3pm,June 14-November 15,M,Y,Y,N,Y,40.58669,-73.96578,POINT (-73.96578 40.58669)
Kings,Harvest Home Farmers' Market-Utica Ave,Eastern Parkway between Utica Ave & Rochester Ave,Eastern Parkway between Utica Ave & Rochester Ave,Brooklyn,NY,11213,Perla Vazquez,2128283361,http://www.harvesthomefm.org,Wed 11am-6pm,June 12-November 20,M,Y,Y,N,Y,40.66837,-73.92988,POINT (-73.92988 40.66837)
Kings,Harvest Home Kings Co. Hospital Farmers' Market,Clarkson Ave btwn E 37th & E 39th Sts.,511 Clarkson Ave,Brooklyn,NY,11203,Perla Vazquez,2128283361,http://www.harvesthomefm.org,Wed 8am-3pm,June 12-November 20,M,Y,Y,N,Y,40.65588,-73.94245,POINT (-73.94245 40.65588)
Kings,Isabahlia Farm Stand - Livonia Ave,410 Livonia Ave Brooklyn,410 Livonia Ave,Brooklyn,NY,11212,Brenda Thompson-Duchene,7184983174,http://www.isabahlialoefinc.org,Sat 9am-3pm,July 6-October 26,M,Y,Y,N,Y,40.66353,-73.90226,POINT (-73.90226 40.66353)
Kings,Isabahlia Farm Stand-Rockaway Ave,514 Rockaway Ave Brooklyn,514 Rockaway Avenue,Brooklyn,NY,11212,Brenda Thompson-Duchene,7184983174,http://www.isabahlialoefinc.org,Fri/Sat 9am-3pm,July 5-October 26,M,Y,Y,N,Y,40.66751,-73.91021,POINT (-73.91021 40.66751)
Kings,McCarren Park Greenmarket,N 12th St btwn Union & Driggs,228 North 12th Street,Brooklyn,NY,11222,Iliana Garcia,2127887900,http://www.grownyc.org/greenmarket/brooklyn/greenpoint-sa,Sat 8am-3pm,Year-round,YR,Y,Y,N,Y,40.71945,-73.95312,POINT (-73.95312 40.71945)
Kings,McGolrick Park Farmers' Market,"130 Russell St. Brooklyn, Center Pavillion in McGolrick Park",130 Russell Street,Brooklyn,NY,11222,Dacotah Rousseau,9149234837,http://www.downtoearthmarkets.com,Sun 9am-2pm,Year-round,YR,Y,Y,N,Y,40.72483,-73.94432,POINT (-73.94432 40.72483)
Kings,Park Slope Farmers' Market,"289 4th St at 5th Ave near PS 51 , Brooklyn",289 4th Street,Brooklyn,NY,11215,Dacotah Rousseau,9149234837,http://www.downtoearthmarkets.com,Sun 9am-2pm,Year-round,YR,Y,Y,N,Y,40.6722,-73.98379,POINT (-73.98379 40.6722)
Kings,Riseboro Hope Ball Field Farmers' Market,Knickerbocker Ave btwn Menahan and Grove Sts,Knickerbocker Ave,Bushwick,NY,10301,Virginia Cross,7188210254,http://www.riseboro.org,Wed 9am-3pm,June 5-November 27,M,Y,Y,N,Y,40.70117,-73.92252,POINT (-73.92252 40.70117)
