Developmental Disability Services Office,Service Provider Agency,Street Address ,Street Address Line 2,City,State,Zip Code,Phone,County,Website Url,Intermediate Care Facilities (ICFs),Individual Residential Alternative (IRA),Family Care,Self-Direction Services,Individual Support Services (ISSs),Day Habilitation,Prevocational,Supported Employment Enrollments,Community Habilitation,Family Support Services,Developmental Centers And Special Population Services,Location 1
METRO NEW YORK DDSO,JOB PATH  INC.,256 W 38TH STREET,2ND FLOOR,NEW YORK,NY,10018,212-944-0564,NEW YORK,http://www.jobpathnyc.org,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,"256 W 38TH STREET
NEW YORK, NY 10018
(40.754255471, -73.990780392)"
BERNARD M. FINESON DDSO,COMMUNITY RESOURCES & SVCS FOR CHILDREN,90-04 161 STREET,SUITE 401,JAMAICA,NY,11432,718-206-3400,QUEENS,,N,N,N,Y,N,N,N,N,Y,Y,N,"90-04 161 STREET
JAMAICA, NY 11432
(40.705229929, -73.799413831)"
TACONIC DDSO,CAMPHILL HUDSON INC,360 WARREN STREET,,HUDSON,NY,12534,518-828-3431,COLUMBIA,http://www.camphillhudson.org,N,Y,N,Y,N,N,N,N,Y,N,N,"360 WARREN STREET
HUDSON, NY 12534
(42.251620405, -73.789134097)"
STATEN ISLAND DDSO,A VERY SPECIAL PLACE  INC.,49 CEDAR GROVE AVENUE,,STATEN ISLAND,NY,10306,718-987-1234,RICHMOND,http://www.veryspecialplace.org,N,Y,N,Y,N,Y,N,Y,Y,Y,N,"49 CEDAR GROVE AVENUE
STATEN ISLAND, NY 10306
(40.56338537, -74.098742909)"
CAPITAL DISTRICT DDSO,CATHOLIC CHARITIES OF THE DIOCESE OF ALB,1 PARK PLACE,SUITE 100,ALBANY,NY,12205,518-783-1111,ALBANY,http://www.ccdservices.org,N,Y,N,Y,Y,N,N,Y,Y,Y,N,"1 PARK PLACE
ALBANY, NY 12205
(42.715756098, -73.814532102)"
METRO NEW YORK DDSO,UNIQUE LIFE  INC.,2197 NEW ENGLAND THRUWAY,,BRONX,NY,10475,347-449-7890,BRONX,http://www.uniquelifeinc.org,N,N,N,Y,Y,Y,N,N,Y,Y,N,"2197 NEW ENGLAND THRUWAY
BRONX, NY 10475
(40.882072999, -73.830249344)"
SUNMOUNT DDSO,RESIDENTIAL RESOURCES INC.,14 NEW YORK ROAD,,PLATTSBURGH,NY,12903,877-643-0303,CLINTON,http://www.resresources.com,N,N,N,Y,N,N,N,Y,Y,Y,N,"14 NEW YORK ROAD
PLATTSBURGH, NY 12903
(44.683844189, -73.446223817)"
BROOKLYN DDSO,HUMAN CARE SVCS FOR FAMILIES & CHILDREN,1042 38TH STREET,,BROOKLYN,NY,11219,718-854-2747,KINGS,http://www.humancareservices.org,N,Y,N,Y,Y,Y,Y,N,Y,Y,N,"1042 38TH STREET
BROOKLYN, NY 11219
(40.644376306, -73.991177526)"
LONG ISLAND DDSO,A-1 UNIVERSAL CARE  INC.,255 EXECUTIVE DRIVE,SUITE 309,PLAINVIEW,NY,11803,516-338-8777,NASSAU,http://www.a1universalcare.org,N,N,N,Y,N,N,N,N,Y,Y,N,"255 EXECUTIVE DRIVE
PLAINVIEW, NY 11803
(40.792848268, -73.464796186)"
CAPITAL DISTRICT DDSO,SARATOGA CO. NYSARC  INC.,16 SARATOGA BRIDGES BOULEVARD,,BALLSTON SPA,NY,12020,518-587-0723,SARATOGA,http://www.saratogabridges.org,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,"16 SARATOGA BRIDGES BOULEVARD
BALLSTON SPA, NY 12020
(43.017269626, -73.791213564)"
