Year,County,Municipality,DEC ID,Facility Name,SIC Code,VOC (tons),NOx (tons),CO (tons),CO2 (tons),Particulates (tons),PM10 (tons),PM2.5 (tons),HAPS (tons),SO2 (tons),Location
2018,ERIE,TONAWANDA,9146400090,Buffalo Terminal LLC,5171,13.03,6.83,5.67,8190.11,0.52,0.01,0.51,0,0.04,POINT (-78.88617 43.01888)
2021,ERIE,TONAWANDA,9146400132,SUNOCO TONAWANDA TERMINAL,4226,20.22,0,0.36,42.25,0,0,0,0.63,0,POINT (-78.88617 43.01888)
2013,KINGS,BROOKLYN (6104),2610401298,WYCKOFF HEIGHTS MEDICAL CENTER,8062,0.24,2.94,2.2,3357.98,0.21,0.21,0,0,0.05,POINT (-73.99036 40.69245)
2014,SUFFOLK,BROOKHAVEN,1472200799,BROOKHAVEN LANDFILL GAS RECOVERY FACILITY,4911,0,0,0,0,0,0,0,0,0,POINT (-72.91224 40.7737)
2014,SUFFOLK,RIVERHEAD,1473000023,UNITED RIVERHEAD TERMINAL,5171,5,9.63,1.11,13086.24,1.7,0.01,1.7,0,16.42,POINT (-72.66016 40.95036)
2011,ERIE,SARDINIA,9146200001,CHAFFEE LANDFILL,4953,44.27,104.08,185.87,4.36,1.31,1.31,1.31,0.69,48.66,POINT (-78.51574 42.54087)
2022,ALBANY,ALBANY,4010100122,NYS OGS SHERIDAN STEAM PLANT,4961,3.56,59.67,53.45,76114.19,4.88,4.79,0.06,0.81,0.44,POINT (-73.75521 42.65155)
2016,ALBANY,GLENMONT,4012200027,CITGO PETROLEUM GLENMONT TERMINAL,5171,42.29,0.05,0.01,24.92,0.01,0,0,0,0,POINT (-73.77026 42.60476)
2012,ONONDAGA,GEDDES,7313200035,LAKESIDE SYRACUSE LLC,4931,0.48,11.08,2.27,7802.22,0.56,0.56,0.47,0,0.06,POINT (-76.23995 43.08983)
2017,ORANGE,WEST POINT,3333600022,US ARMY GARRISON,8221,6.74,41.18,50.27,36499.38,3.08,0.1,2.97,1.35,0.85,POINT (-73.95502 41.39523)
2018,ONTARIO,CANANDAIGUA,8322400427,PACTIV TECHNOLOGY CENTER,8731,0.15,0.01,0,0.22,0.01,0,0,0,0,POINT (-77.28094 42.88809)
2021,JEFFERSON,WATERTOWN,6221800017,KNOWLTON TECHNOLOGIES LLC,2621,3.43,9.38,7.88,11195.78,0.71,0,0.71,1.72,0.06,POINT (-75.91428 43.97586)
2010,STEUBEN,WOODHULL,8468200006,WOODHULL STATION & POOL,4922,12.92,22.94,42.38,15613.28,5.26,5.26,5.21,0,0.07,POINT (-77.41594 42.0526)
2017,NEW YORK,NEW YORK,2620400019,CON ED-74TH STREET STA,4961,7.79,177.2,144.94,215192.53,17.79,4.73,12.96,0,23.04,POINT (-74.00712 40.71453)
2019,SUFFOLK,WEST BABYLON,1472001046,WEST BABYLON GT FACILITY,4911,0,19.5,0.07,3625.98,0.14,0.59,0.25,0,0.02,POINT (-73.34835 40.70123)
2014,NIAGARA,LOCKPORT,9292600016,LOCKPORT COGENERATION FACILITY,4931,0.53,284.32,208.79,204916.9,0.92,0,0.91,0,0.05,POINT (-78.69511 43.16926)
2021,ONTARIO,GENEVA,8320500041,GUARDIAN INDUSTRIES CORP,3211,61.59,274.52,12.91,2659.26,172.68,116.64,56.01,1.44,135.27,POINT (-76.98218 42.86642)
2015,RENSSELAER,RENSSELAER,4381400005,SPRAGUE OPERATING RESOURCES LLC,5171,5.29,0.71,1.78,0,0,0,0,0,0,POINT (-73.74127 42.64472)
2018,FRANKLIN,CONSTABLE,5169900003,CFSWMA REGIONAL SOLID WASTE DISPOSAL FAC,4953,3.42,0.78,3.03,1778.72,0.15,0.14,0.01,0.18,1.11,POINT (-74.29712 44.92934)
2011,ONEIDA,UTICA,6301600065,UTICA METAL PRODUCTS,3465,1.57,0.49,0,421.79,0.2,0.05,0,0.01,0,POINT (-75.24258 43.09589)
2016,TOMPKINS,ITHACA,7502400007,BORGER STATION,4922,0.11,32.79,8.4,11272.67,0.68,0.68,0,0,0.35,POINT (-76.49546 42.44051)
2015,WESTCHESTER,CORTLANDT,3552200087,CONTINENTAL BUCHANAN LLC,3275,18.71,22.46,100.52,63301.34,67.61,0,0.16,0,0.9,POINT (-73.90851 41.22952)
2010,NIAGARA,NIAGARA FALLS,9291100113,COVANTA NIAGARA LP,4953,8.96,733.13,104.62,385040.45,5.21,3.86,0.74,65.23,119.68,POINT (-79.05551 43.096)
2021,FULTON,JOHNSTOWN,5172800005,FULTON COUNTY MUD RD SANITARY LANDFILL,4953,1.82,0,0,3190.74,0,0,0,0.91,0,POINT (-74.36846 43.00655)
2022,KINGS,BROOKLYN,2610500301,KINGS PLAZA ENERGY LLC,4931,5.66,11.14,5.18,6114.64,1.01,0.48,0.53,3.42,0.03,POINT (-73.99036 40.69245)
2020,NASSAU,EAST ROCKAWAY,1282000652,South Shore Water Reclamation Facility (formerly know as the Bay Park Sewage,4952,34.54,179.61,24.88,89932.26,7.43,2.4,5.02,0,3.92,POINT (-73.6648 40.64667)
2015,SUFFOLK,ISLIP,1472803067,BRENTWOOD PLANT,4911,0.62,3.14,2.76,32046.85,1.92,0,1.92,0,0.2,POINT (-73.218 40.72817)
2018,ORANGE,MIDDLETOWN,3330900064,GENPAK LLC MIDDLETOWN MAIN PLANT,3086,48.95,2.39,0.48,2877.06,0.19,0,0,0,0.01,POINT (-74.42261 41.44584)
2011,BRONX,BRONX (6007),2600700189,LAFAYETTE BOYNTON APARTMENT CORPORATION,6513,0.11,7.88,1.97,8810.64,0.37,0,0,0,11.19,POINT (-73.92309 40.826)
2019,SUFFOLK,RIVERHEAD,1473000023,UNITED RIVERHEAD TERMINAL,5171,49.97,3.43,2.72,3790.5,0.01,0.01,0.25,0,0.04,POINT (-72.66016 40.95036)
2015,ULSTER,SAUGERTIES,3514800084,NORTHEAST SOLITE CORPORATION,3295,83.62,203.51,0,7.33,3.46,2.79,0,0,222.14,POINT (-73.95246 42.07778)
2021,CAYUGA,AUBURN,7055200002,BUCKEYE PIPE LINE CO LP - AUBURN,4613,17.99,0,0,3.99,0,0,0,0.77,0,POINT (-76.56591 42.92936)
2012,SUFFOLK,SOUTHOLD,1473803119,GREENPORT GENERATING FACILITY,4911,0.04,2.47,0.14,16821.11,0.35,0.22,0.21,0,3.12,POINT (-72.42815 41.06424)
2012,NASSAU,OYSTER BAY,1282400947,TBG COGEN FACILITY,4911,16.45,123.62,14.11,288820.39,17.01,17.01,1.15,0,1.32,POINT (-73.53412 40.87239)
2017,OSWEGO,FULTON,7355800013,OSWEGO CO ENERGY RECOVERY FAC,4953,0.01,147.99,9.69,28168.4,0.87,0.86,0.01,0,20.15,POINT (-76.41527 43.32201)
2011,NEW YORK,MANHATTAN (6204),2620400139,FRANKLIN PLAZA APARTMENTS,6513,0.7,33.96,3.09,15739.68,2.9,2.9,2.83,0.24,29.08,POINT (-74.00601 40.7145)
2016,ALBANY,RAVENA,4012400001,LAFARGE RAVENA PLANT,3241,23.37,504.35,134.61,328634.84,223.86,117.21,106.51,24.17,1220.71,POINT (-73.81254 42.4719)
2013,SUFFOLK,BABYLON,1472001919,LAWRENCE RIPAK FACILITY,8734,1.05,1.38,0.28,1638.45,0.08,0.08,0,9.95,0.01,POINT (-73.32601 40.69573)
2021,KINGS,BROOKLYN,2610100025,NEWTOWN CREEK WASTEWATER RESOURCE RECOVERY FACILITY,4952,3.13,10.72,8.44,16803.51,3.11,3.02,0.08,1.33,7.79,POINT (-73.99036 40.69245)
2015,ONONDAGA,DEWITT,7312600127,CARR STREET GENERATING STATION,4911,2.86,36.39,38.62,146112.42,8.84,0,8.83,0,0.78,POINT (-76.06548 43.03507)
2011,OSWEGO,SCRIBA,7355600040,INDEPENDENCE STATION,4931,4.57,207.22,421.06,1424560.35,31.69,31.38,30.35,0,7.19,POINT (-76.42047 43.4658)
2019,BRONX,BRONX,2600500556,FORDHAM UNIVERSITY,8221,0.73,17.58,14,20062.69,0.01,0.69,0.6,0,0.12,POINT (-73.92309 40.826)
2020,ORANGE,MIDDLETOWN,3330900040,ALLIANCE ENERGY - SHOEMAKER GAS TURBINE FACILITY,4911,0.03,1.11,0.18,136.45,0.01,0,0.01,0,0,POINT (-74.42261 41.44584)
2010,ERIE,BUFFALO,9140200565,GENERAL MILLS OPERATIONS LLC,2043,0.81,24.05,17.56,24249.89,0.82,0.82,0.63,0,0.11,POINT (-78.87846 42.88545)
2015,CHEMUNG,CHEMUNG,8072800033,VULCRAFT OF NEW YORK INC,3441,15.94,18.71,4.66,712.21,0.33,0,0.12,0,0.02,POINT (-76.62353 42.00831)
2021,ALBANY,COHOES,4012600602,INNOVATIVE / COLONIE,4911,27.9,27.25,142.49,23390.66,3.03,0,3.03,26.1,37.19,POINT (-73.70009 42.77465)
2018,RICHMOND,STATEN ISLAND,2640300014,ARTHUR KILL GENERATING STATION,4911,23.54,500.42,289.01,667449.67,42.29,0,42.05,0,3.37,POINT (-74.07527 40.64242)
2020,KINGS,BROOKLYN,2610200086,NARROWS GENERATING STATION,4911,0.9,148.59,34.9,48202.7,2.92,0,2.88,0,1.45,POINT (-73.99036 40.69245)
2015,HERKIMER,FRANKFORT,6212600037,DOMINION TRANSMISSION INC - UTICA STATION,4922,0.03,0.33,0.18,233.4,0.02,0,0.02,0,0,POINT (-75.07407 43.03638)
2015,COLUMBIA,CHATHAM,4102600037,COMPRESSOR STATION 254,4922,22.56,115.03,99.56,28781.4,7.79,7.79,0,0,0.81,POINT (-73.59502 42.36373)
2018,SUFFOLK,SHOREHAM,1472204133,SHOREHAM ENERGY LLC,4911,0.04,2.42,0.15,6383.26,0.47,0,0.3,0,0.03,POINT (-72.90943 40.96172)
2014,CATTARAUGUS,OLEAN,9041200042,INDECK OLEAN ENERGY CENTER,4911,0.16,47.35,2.81,168076.6,1.23,0,1.23,0,0.81,POINT (-78.42814 42.07761)
2015,KINGS,BROOKLYN (6103),2610300760,MAIMONIDES MEDICAL CENTER,8062,1.17,13.27,10.55,14724.25,0.94,0.93,0,0,0.17,POINT (-73.99036 40.69245)
2013,NASSAU,HEMPSTEAD,1282001549,MOTIVA ENTERPRISES LLC LONG ISLAND TERMINAL,5171,35.56,0,0,5.3,0,0,0,0,0,POINT (-73.62194 40.7101)
2011,QUEENS,QUEENS (6304),2630400489,CONFORT & COMPANY INC,2752,12.65,0.76,0.11,436.01,0.13,0.13,0.09,0,0.69,POINT (-73.82999 40.714)
2012,ONTARIO,SENECA,8324400004,ONTARIO CO LANDFILL,4953,94.57,12.26,51.02,97261.5,4.41,0,0,3.26,11.04,POINT (-77.05335 42.80424)
2016,ALBANY,SELKIRK,4012200007,SABIC INNOVATIVE PLASTICS US LLC,2821,9.48,85.01,35.12,52585.38,14.78,10.48,3.62,0,0.41,POINT (-73.79876 42.53269)
2016,BRONX,BRONX,2600200105,MONTEFIORE MEDICAL CTR-111 E 210TH ST,8062,1.38,9.37,59.82,31130.34,0.89,0.51,0.37,0,1.81,POINT (-73.92309 40.826)
2013,ALBANY,ALBANY,4010100171,ALBANY LANDFILL,4953,23.33,3.84,4.52,33143.04,1.48,1.48,1.48,3.71,24.39,POINT (-73.75521 42.65155)
2020,WASHINGTON,GREENWICH,5532600004,HOLLINGSWORTH & VOSE-EASTON MILL,2621,3.96,15.9,5.5,19350.62,1.19,0,1.18,0,0.82,POINT (-73.49696 43.08752)
2021,NEW YORK,NEW YORK,2620400037,CON ED-EAST 60TH STREET STEAM PLANT,4961,2.64,35.68,40.23,57145.83,3.67,0,0,0,0.28,POINT (-74.00712 40.71453)
2010,WYOMING,GAINESVILLE,9563200007,MORTON SALT INC,2899,1.42,214.9,11.81,115548.29,75.89,0.3,0.08,70.9,1341.29,POINT (-78.13413 42.64198)
2021,SCHOHARIE,COBLESKILL,4432600017,MILL SERVICES INC,2431,46.13,0.62,0.52,748.56,9.04,8.99,0.05,0,0,POINT (-74.48317 42.6782)
2012,SUFFOLK,BROOKHAVEN,1472200799,BROOKHAVEN LANDFILL GAS RECOVERY FACILITY,4911,0,2.92,7.09,1568.42,0.81,0.81,0.51,0,0.25,POINT (-72.91224 40.7737)
2011,QUEENS,QUEENS (6301),2630100065,ELMHURST HOSP-79-01 BROADWAY,8062,0.65,19.16,3.8,32179.45,1.68,1.67,1.66,0,8.81,POINT (-73.82999 40.714)
2021,WAYNE,FAIRPORT,8990800162,HIGH ACRES LANDFILL & RECYCLING CENTER,4953,22.91,102.86,321.86,194755.93,10.12,0.03,10.07,7.85,107,POINT (-77.44194 43.10097)
2015,OSWEGO,SCRIBA,7355600001,NOVELIS CORPORATION,3341,37.2,162.96,136.86,179234.52,104.43,28.46,0.06,42.57,1.03,POINT (-76.42047 43.4658)
2018,ROCKLAND,HILLBURN,3392600059,HILLBURN SUBSTATION,4911,0,1.33,0.24,326.06,0.02,0,0.02,0,0.01,POINT (-74.16934 41.12496)
2022,NASSAU,ROCKVILLE CTR,1282000753,ROCKVILLE CENTRE POWER PLANT,4911,0.21,0.7,0.66,754.82,0.18,0.04,0.14,0.01,0,POINT (-73.64547 40.65931)
2011,NEW YORK,MANHATTAN (6203),2620300001,NYC-HH - HARLEM HOSPITAL,8062,0.95,11.88,8.79,1554.78,0.92,0.87,0.87,0,0.55,POINT (-74.00601 40.7145)
2016,NIAGARA,YOUNGSTOWN,9292400110,MODEL CITY ENERGY FACILITY,4911,19.94,29.69,202.98,39986.11,3.2,3.2,0,3,14.56,POINT (-79.04796 43.2504)
2014,NASSAU,HEMPSTEAD,1282001549,MOTIVA ENTERPRISES LLC LONG ISLAND TERMINAL,5171,28.73,0,0,68.69,0,0,0,0,0,POINT (-73.62194 40.7101)
2013,SUFFOLK,ISLIP,1472804190,BEMIS COMPANY INC,2759,25.32,4.82,4.04,5604.65,0.37,0.37,0,0,0.03,POINT (-73.218 40.72817)
2019,NIAGARA,NIAGARA FALLS,9291100111,DUREZ NIAGARA,2821,1.38,6.55,3.88,5537.58,0.08,0.05,0.36,0,0.03,POINT (-79.05551 43.096)
2015,ONTARIO,CANANDAIGUA,8322400108,PACTIV LLC,3086,216.66,3.25,2.61,3584.23,7.43,0.66,6.78,0,0.03,POINT (-77.28094 42.88809)
2020,BROOME,NANTICOKE,7039900011,BROOME COUNTY LFG RECOVERY FACILITY,4911,20.25,38.42,101.47,21215.69,1.69,0,1.69,0,0.13,POINT (-76.05409 42.2748)
2010,ORANGE,NEW WINDSOR,3334800111,GLOBAL COMPANIES LLC - NEWBURGH TERMINAL,5171,0,0.04,0.03,55.62,0,0,0,0,0,POINT (-74.02274 41.47742)
2011,KINGS,BROOKLYN (6101),2610100105,ARC TERMINALS BROOKLYN,5171,22.75,0.03,0.03,39.08,0,0,0,0,0,POINT (-73.99036 40.69245)
2017,TOMPKINS,LANSING,7503200019,"CAYUGA OPERATING COMPANY, LLC",4911,3.14,314.87,25.44,295133.5,26.32,7.48,18.78,0.53,505.74,POINT (-76.48795 42.48713)
2017,ERIE,BUFFALO,9140200600,BUFFALO TERMINAL,4226,29.57,0,0,0.6,0,0,0,0,0,POINT (-78.87846 42.88545)
2020,MONROE,ROCHESTER,8261400907,"SEMICONDUCTOR COMPONENTS INDUSTRIES, LLC",3674,0,0,0,0,0,0,0,0,0,POINT (-77.61632 43.1558)
2011,ST LAWRENCE,DEKALB,6403000002,CORNING INC CANTON PLANT,3229,0.28,103.86,3.18,10256.64,9.2,9.2,0,0,0.02,POINT (-75.34272 44.49895)
2010,ESSEX,TICONDEROGA,5154800008,INTERNATIONAL PAPER TICONDEROGA MILL,2611,141.07,709.9,335.85,364117.43,225.42,201.97,188.19,6.49,1041.51,POINT (-73.42423 43.84879)
2011,WESTCHESTER,YONKERS,3551800222,SAINT JOHN'S RIVERSIDE HOSPITAL,8062,0.33,13.37,1.56,7.52,0.02,0.02,0.02,0,13.16,POINT (-73.89874 40.93299)
2015,SUFFOLK,BROOKHAVEN,1472200926,RICHARD M FLYNN POWER PLANT,4931,1.66,159.99,2.37,513415.55,3.57,3.46,0,0,2.48,POINT (-72.91224 40.7737)
2015,NEW YORK,MANHATTAN (6202),2620200181,LE PARKER MERIDIEN-109 WEST 56TH ST,7011,0.27,11.15,1.19,6219.66,1.46,1.41,0,0.07,11.18,POINT (-74.00601 40.7145)
2014,KINGS,BROOKLYN (6101),2610100071,GREENPOINT ENERGY CTR,4923,1.2,4.83,3.11,403.69,0.99,0.99,0,0,0,POINT (-73.99036 40.69245)
2013,CLINTON,SCHUYLER FALLS,5094600049,CLINTON COUNTY REGIONAL LANDFILL,4953,19.22,41.69,183.7,60882.86,10.94,10.94,0.09,2.3,4.14,POINT (-73.55971 44.6313)
2020,WESTCHESTER,BUCHANAN,3552200087,CERTAINTEED GYPSUM BUCHANAN LLC,3275,2.89,21.53,89.73,57621.37,73.63,0,0.25,0,0.49,POINT (-73.93944 41.26097)
2013,ONTARIO,CANANDAIGUA,8322400108,PACTIV LLC,3086,226.91,3.36,2.71,3825.72,21.24,20.18,6.61,0,0.03,POINT (-77.28094 42.88809)
2015,RENSSELAER,RENSSELAER,4381400029,RENSSELAER COGEN FACILITY,4911,0.28,6.52,3.86,23370.54,2.61,0.01,1.01,0,0.12,POINT (-73.74127 42.64472)
2019,BROOME,ENDICOTT,7034600032,i3 ELECTRONICS HURON CAMPUS,3672,5.51,0,0.1,0.63,1.25,0,0,0.84,0,POINT (-76.04571 42.09971)
2015,NEW YORK,MANHATTAN (6204),2620400118,ROCKEFELLER UNIVERSITY,6512,2.65,22.63,16.34,26617.83,2.31,0.43,1.8,0.2,0.18,POINT (-74.00601 40.7145)
2013,ERIE,TONAWANDA,9146400048,TONAWANDA ENGINE PLANT-GENERAL MOTORS POWERTRAIN,3711,5.13,19.47,7.67,23639.1,4.51,2.29,1.64,0,0.17,POINT (-78.88617 43.01888)
2010,NASSAU,HEMPSTEAD,1282001085,CARBO INDUSTRIES PROPERTY,5171,22.81,0,0,0,0,0,0,0,0,POINT (-73.62194 40.7101)
2014,ROCKLAND,ORANGETOWN,3392400173,"AVERY DENNISON RIS, LLC.",2672,8.36,1.76,1.48,2108.68,0.13,0.06,0.08,0,0.01,POINT (-73.95512 41.04593)
2022,SCHENECTADY,SCHENECTADY,4422800076,VON ROLL USA INC,2821,10.23,5.14,3.87,6138.27,0.62,0.2,0.2,2.86,0.03,POINT (-73.94122 42.81238)
2021,NASSAU,GLENWOOD LANDING,1282402146,GLENWOOD LANDING ENERGY CENTER,4911,1.54,8.16,56.34,87904.28,7.37,2.47,4.86,0.77,0.55,POINT (-73.64261 40.83002)
2013,NEW YORK,MANHATTAN (6204),2620400059,MOUNT SINAI HOSPITAL,8062,4.47,54.92,35.61,47448.15,5.2,2.97,2.97,0,0.35,POINT (-74.00601 40.7145)
2010,ST LAWRENCE,OGDENSBURG,6401200053,OGDENSBURG ENERGY FACILITY,4931,0.45,13.83,6.82,9555.2,0.62,0.61,0.61,0,0.05,POINT (-75.48994 44.69424)
2020,ERIE,BLASDELL,9144800178,LACKAWANNA PLANT- REPUBLIC STEEL,3312,2.66,40.15,40.62,683.22,3.67,0,0.04,0,0.3,POINT (-78.8307 42.79793)
2014,ORANGE,NEWBURGH,3334600011,DANSKAMMER GENERATING STATION,4911,1.53,44.1,30.25,50453.31,2.74,0,2.72,0,18.1,POINT (-74.01023 41.49994)
2019,SUFFOLK,MEDFORD,1472200967,GERSHOW RECYCLING CORP,5093,0,0,0,0,0,0,0,0,0,POINT (-73.00079 40.81758)
2021,KINGS,BROOKLYN,2610500263,STARRETT CITY POWER PLANT,6514,5.98,186.39,76.47,100241.43,6.87,0.04,6.8,1.06,1.31,POINT (-73.99036 40.69245)
2018,CLINTON,MORRISONVILLE,5094600049,CLINTON COUNTY REGIONAL LANDFILL,4953,9.54,18.59,131.11,39118.93,7.68,7.61,0.06,1.25,2.72,POINT (-73.56636 44.69294)
2019,WARREN,GLENS FALLS,5520500013,LEHIGH CEMENT COMPANY LLC,3241,2.91,411.61,190.11,266975.96,0,76.62,61.57,0,69.69,POINT (-73.64376 43.31122)
2011,NASSAU,HEMPSTEAD,1282000357,FREEPORT POWER PLANT #1,4911,0.11,1.55,0.81,547.83,0.08,0.03,0,0,0.09,POINT (-73.62194 40.7101)
2012,ERIE,BUFFALO,9140200573,BUFFALO STATE COLLEGE,8221,0.88,17.84,12.78,16439.58,0.27,0.27,0.27,0,0.09,POINT (-78.87846 42.88545)
2017,QUEENS,QUEENS,2630400024,RAVENSWOOD GENERATING STATION,4911,43.01,782.72,231.65,1715671.7,114.13,11.81,101.92,0,60.72,POINT (-73.82999 40.714)
2019,ERIE,BUFFALO,9146400048,TONAWANDA ENGINE PLANT-GENERAL MOTORS POWERTRAIN,3714,2.72,13.54,5.33,16284.79,0.22,0,1.23,0,0.09,POINT (-78.87846 42.88545)
2010,MONROE,ROCHESTER,8261400117,AMERICAN PACKAGING CORP,2671,0.12,2.27,1.9,2644.2,0.17,0.17,0.1,0,0.01,POINT (-77.61632 43.1558)
2012,ONONDAGA,MANLIUS,7313800015,L & J G STICKLEY INC,2511,88.98,12.29,15.05,4824.43,9.67,9.13,0,0,0.63,POINT (-75.9804 43.00234)
2013,KINGS,BROOKLYN (6103),2610300158,NEW YORK METHODIST HOSPITAL,8062,7.59,29.68,60.24,31369.26,3.14,1.57,1.56,0,0.18,POINT (-73.99036 40.69245)
2013,CHAUTAUQUA,DUNKIRK,9060300021,DUNKIRK STEAM GENERATING STATION,4911,9.63,444.63,73.71,540268.13,78.29,19.33,11.1,12.2,1333.96,POINT (-79.33578 42.48724)
2010,NIAGARA,CAMBRIA,9292000008,TENNESSEE GAS PIPELINE CO COMPRESSOR STATION 230-C,4922,0.17,3.83,2.79,3596.32,0.26,0.26,0.26,0,0.02,POINT (-78.818 43.16396)
2020,QUEENS,LAURELTON,2630700006,EPIC PHARMA LLC,2834,1.06,0.79,0.66,954.49,0.13,0.09,0.04,0.01,0,POINT (-73.74659 40.67019)
2022,KINGS,BROOKLYN,2610700012,NYC-HH - CONEY ISLAND HOSPITAL,8062,0.37,1.78,3.72,5460.63,0.35,0.01,0.34,0.06,0.03,POINT (-73.99036 40.69245)
2017,SUFFOLK,WEST BABYLON,1472000777,BABYLON RESOURCE RECOVERY FACILITY,4953,0,183.72,24.35,114469.79,0.3,0.3,0,10.49,11.6,POINT (-73.34835 40.70123)
2022,ONONDAGA,SYRACUSE,7313200055,WestRock-Solvay LLC,2631,7.81,14.94,78.07,182650.84,10.86,0.6,10.2,1.8,15.4,POINT (-76.14738 43.05042)
2010,BRONX,BRONX (6005),2600500232,ST BARNABAS HOSPITAL,8062,0.27,22.04,4.17,18183.26,4.12,0.59,0.59,0,26.16,POINT (-73.92309 40.826)
2010,YATES,TORREY,8573600004,GREENIDGE STATION,4911,0,592.23,61.36,623921.84,30.02,26.94,0,8.28,473.89,POINT (-76.96419 42.6808)
2017,ONONDAGA,JAMESVILLE,7314200028,ONONDAGA CO RESOURCE RECOVERY FACILITY,4953,9.62,541.03,23.19,380309.61,4.17,4.08,0.02,6.46,27.43,POINT (-76.07025 42.9916)
2019,ONEIDA,AVA,6302400009,AVA LANDFILL,4953,3.61,5.11,26.43,28055.5,0,3.28,0.54,0.59,16.34,POINT (-75.47957 43.41872)
2010,ALBANY,COHOES,4010300016,NORLITE LLC,3241,3.73,84.64,25.73,53424.41,109.2,34.65,3.14,5.93,130.53,POINT (-73.70009 42.77465)
2011,ROCKLAND,STONY POINT,3392800001,ALGONQUIN GAS: STONY POINT COMPRESSOR STA,4922,34.09,50.28,27.58,70804.78,4.75,4.75,4.47,0.01,1.99,POINT (-74.00764 41.23448)
2021,MONROE,ROCHESTER,8261400205,EASTMAN BUSINESS PARK,3861,73.06,1.82,0.37,3098.32,41.46,25.26,15.34,16.18,0.01,POINT (-77.61632 43.1558)
2019,QUEENS,ASTORIA,2630100006,CON ED - ASTORIA FACILITY,4911,8.3,14.68,17.11,9879.4,0.04,0.02,0.99,0,0.05,POINT (-73.93014 40.77205)
2021,ERIE,CHEEKTOWAGA,9143000110,TRINITY PACKAGING - A DIVISION OF PROAMPAC,2741,1.8,0.93,0.78,1118.96,0.07,0.07,0,0,0.01,POINT (-78.73428 42.90402)
2018,ERIE,HAMBURG,9144800012,SOUTHTOWNS WATER RESOURCE RECOVERY FACILITY,4952,0.05,2.47,0.49,2606.58,0.2,0,0,0.01,0.05,POINT (-78.83422 42.71624)
2015,SUFFOLK,HUNTINGTON,1472600009,AMERICAN TECHNICAL CERAMICS,3675,11.1,0.31,0.26,327.59,0.4,0.03,0.02,0,0,POINT (-73.42913 40.8722)
2017,STEUBEN,PAINTED POST,8464200108,CORNING DIESEL MANUFACTURING FACILITY,3299,21.84,109.28,168.86,110527.2,17.41,3.46,13.92,2.77,0.91,POINT (-77.09055 42.16034)
2011,SUFFOLK,HUNTINGTON,1472600176,OAK TREE FARM DAIRY,241,1.61,59.5,15.83,3243.1,1.07,1.07,1.06,0,0.79,POINT (-73.42913 40.8722)
2019,SUFFOLK,WEST BABYLON,1472003061,PINELAWN POWER,4911,0.39,2.6,4.98,35613.07,0.01,1.55,1.98,0,0.18,POINT (-73.34835 40.70123)
2020,NASSAU,WANTAGH,1282000653,CEDAR CREEK WPCP,4952,10.96,144.75,149.47,12102.74,5.77,1.68,4.09,0,9.61,POINT (-73.50984 40.67585)
2010,ONONDAGA,DEWITT,7312600016,BRISTOL-MYERS SQUIBB COMPANY,2834,14.1,14.51,17.36,24712.91,1.57,1.56,1.56,0.01,0.12,POINT (-76.06548 43.03507)
2016,SCHENECTADY,NISKAYUNA,4422400001,GE GLOBAL RESEARCH CENTER,8731,8.87,54.92,18,23687.19,4.28,1.7,2.45,1.04,23.09,POINT (-73.84568 42.7798)
2013,CAYUGA,AUBURN,7050100134,AUBURN LANDFILL GAS ELECTRIC GENERATORS FACILITY,4911,12.02,15.53,55.67,5314.42,0,0,0,0,0,POINT (-76.56591 42.92936)
2013,WESTCHESTER,PEEKSKILL,3551200031,WHEELABRATOR WESTCHESTER LP,4953,34.3,966.59,359.12,285866.87,6.98,6.98,0,0,416.05,POINT (-73.92211 41.29117)
2019,QUEENS,LAURELTON,2630700006,EPIC PHARMA LLC,2834,0,0,0,0,0,0,0,0,0,POINT (-73.74659 40.67019)
2017,ONEIDA,UTICA,6301600048,ONEIDA CO WATER POLLUTION CONTROL PLANT,4952,16.3,6.33,0.27,8217.78,1.26,1.25,0.01,0.06,6.38,POINT (-75.24258 43.09589)
2012,NASSAU,OYSTER BAY,1282400455,GLOBAL COMPANIES - COMMANDER TERMINAL,5171,1.63,0.08,0.02,90.87,0.01,0.01,0.01,0,0.21,POINT (-73.53412 40.87239)
2021,ERIE,BUFFALO,9140200021,AURUBIS BUFFALO INC,3351,14.35,15.32,836.44,38780,18.63,1.61,9.22,0.01,0.2,POINT (-78.87846 42.88545)
2011,GREENE,CATSKILL,4192600021,CATSKILL QUARRY,3241,0,0.12,0.03,130.22,0.01,0.01,0.01,0,0.1,POINT (-73.86422 42.21773)
2010,WASHINGTON,FORT ANN,5532800010,NYS GREAT MEADOW CORRECTIONAL FACILITY,9223,1.04,34.7,3.72,18431.13,4.92,4.92,0.03,0,57.47,POINT (-73.49172 43.41455)
2018,SARATOGA,SARATOGA SPRINGS,5411500002,BALL METAL BEVERAGE CONTAINER CORP,3411,122.35,10.9,9.14,0.82,0.91,0.88,0.03,0,0.07,POINT (-73.78441 43.08412)
2021,ORANGE,NEW WINDSOR,3334800082,GLOBAL COMPANIES - CARGO TERMINAL,5171,95.19,0.08,0.08,80.08,0.01,0,0.01,2.25,0,POINT (-74.02274 41.47742)
